season_id,season_label,anime_title,is_rerun,kind,index,song_title,artist,youtube_url,youtube_views,youtube_channel,anime_youtube_url,anime_youtube_views,anime_youtube_channel,last_searched_at
5947,2026秋アニメ,信者ゼロの女神サマと始める異世界攻略,False,ED,1,Fall in Dream,Suupeas,,,,,,,
5947,2026秋アニメ,新テニスの王子様 U-17 WORLD CUP 決勝メンバー決定戦,False,OP,1,Walls And Bridges,青酢（越前リョーマ、⼿塚国光、⼤⽯秀⼀郎、不⼆周助）,,,,,,,
5947,2026秋アニメ,新テニスの王子様 U-17 WORLD CUP 決勝メンバー決定戦,False,ED,1,金環蝕 phenomenal,跡部景吾＆忍足侑士,https://www.youtube.com/watch?v=LLCVfhquaAU,220403,アニメ 新テニスの王子様 オフィシャルチャンネル,,,,2026-09-16T09:03:41
5947,2026秋アニメ,生徒会にも穴はある！,False,OP,1,風の中は走るっきゃないっ！,三月のパンタシア,,,,,,,
5947,2026秋アニメ,世界最強の魔女、始めました,False,OP,1,影響力∞アイドル,HoneyWorks feat.ハコニワリリィ,,,,,,,
5947,2026秋アニメ,世界最強の魔女、始めました,False,ED,1,星を巡る,ロクデナシ,,,,,,,
5947,2026秋アニメ,#ゾンビさがしてます,False,OP,1,ラキラキ,すりぃ,,,,,,,
5947,2026秋アニメ,#ゾンビさがしてます,False,ED,1,ソフトアポカリプス,cadode,,,,,,,
5947,2026秋アニメ,ダークサモナーとデキている,False,OP,1,絶対完成♡既成事実,恋汐りんご,,,,,,,
5947,2026秋アニメ,ダークサモナーとデキている,False,ED,1,AKUMA♰No?☆ヒメ♡ゴト,小宮真央,,,,,,,
5947,2026秋アニメ,DARK MACHINE THE ANIMATION,False,OP,1,存在理由 改,BUCK∞TICK,,,,,,,
5947,2026秋アニメ,ダイヤのA actⅡ -Second Season- 第2クール,False,OP,1,Let's Go Crazy,Baby Canta,,,,,,,
5947,2026秋アニメ,ダイヤのA actⅡ -Second Season- 第2クール,False,OP,2,NEVER SAY NEVER AGAIN,GLAY,,,,,,,
5947,2026秋アニメ,ダイヤのA actⅡ -Second Season- 第2クール,False,ED,1,NUMBER,SUPER★DRAGON,,,,,,,
5947,2026秋アニメ,ダイヤのA actⅡ -Second Season- 第2クール,False,ED,2,ROAD TO BE BLUE,OxT,https://www.youtube.com/watch?v=4qhROA2isBY,214702,OxT - Topic,,,,2026-09-17T09:03:50
5947,2026秋アニメ,TANK CHAIR-戦車椅子-,False,OP,1,DALALA,SiM,https://www.youtube.com/watch?v=7lbUMzWGK4g,8335,Bandai Namco Filmworks Channel,https://www.youtube.com/watch?v=7lbUMzWGK4g,8335,Bandai Namco Filmworks Channel,2026-09-21T09:03:32
5947,2026秋アニメ,TANK CHAIR-戦車椅子-,False,ED,1,SYNC,Daoko,https://www.youtube.com/watch?v=IrHhljLwzXw,8823,Bandai Namco Filmworks Channel,https://www.youtube.com/watch?v=IrHhljLwzXw,8823,Bandai Namco Filmworks Channel,2026-09-19T09:03:43
5947,2026秋アニメ,探偵はもう、死んでいる。Season2,False,OP,1,この心臓に花束を,心梅,,,,,,,
5947,2026秋アニメ,探偵はもう、死んでいる。Season2,False,ED,1,白昼夢,カグラナナ,https://www.youtube.com/watch?v=WAjXT8Q109U,2574465,カグラナナchannel／ななかぐら,,,,2026-09-19T09:04:08
5947,2026秋アニメ,千歳くんはラムネ瓶のなか 第2クール,False,OP,1,ライアー,Kucci,https://www.youtube.com/watch?v=pjGmDIrNgHw,741883,KADOKAWAanime,https://www.youtube.com/watch?v=pjGmDIrNgHw,741883,KADOKAWAanime,2026-09-16T09:04:36
5947,2026秋アニメ,千歳くんはラムネ瓶のなか 第2クール,False,OP,2,サイダーガール,サイダーガール,https://www.youtube.com/watch?v=pjGmDIrNgHw,750960,KADOKAWAanime,https://www.youtube.com/watch?v=pjGmDIrNgHw,750960,KADOKAWAanime,2026-09-22T09:04:19
5947,2026秋アニメ,千歳くんはラムネ瓶のなか 第2クール,False,ED,1,陽炎,サイダーガール,https://www.youtube.com/watch?v=ca7_nIyte3I,417504,KADOKAWAanime,https://www.youtube.com/watch?v=ca7_nIyte3I,417504,KADOKAWAanime,2026-09-16T09:04:45
5947,2026秋アニメ,千歳くんはラムネ瓶のなか 第2クール,False,ED,2,どこにもいけないまま,aruma,,,,,,,
5947,2026秋アニメ,追放されたチート付与魔術師は気ままなセカンドライフを謳歌する。,False,OP,1,エンバートーチ,sumika,,,,,,,
5947,2026秋アニメ,てつりょー！meet with 鉄道むすめ,False,ED,1,わたし未来線,てつりょー会（橘めい・庄子真央・福嶋晴菜・月城日花）,,,,,,,
5947,2026秋アニメ,テムパル～アイテムの力～,False,OP,1,SATISFY,Re:name,,,,,,,
5947,2026秋アニメ,テムパル～アイテムの力～,False,ED,1,Ray of Emotion,導凰,,,,,,,
5947,2026秋アニメ,デモンズ・クレスト,False,OP,1,シンカ,Ado,,,,,,,
5947,2026秋アニメ,Duel Masters LOST ～断罪の少年～,False,OP,1,あやかしあやし,伊東歌詞太郎,https://www.youtube.com/watch?v=dYHTC2QyGTs,50096,デュエチューブ-DM公式-,,,,2026-09-16T09:05:31
5947,2026秋アニメ,Duel Masters LOST ～断罪の少年～,False,ED,1,朔日 feat. 吉乃,月詠み,https://www.youtube.com/watch?v=L3JeU4bIHNk,49556,デュエチューブ-DM公式-,https://www.youtube.com/watch?v=L3JeU4bIHNk,49556,デュエチューブ-DM公式-,2026-09-16T09:05:37
5947,2026秋アニメ,転生貴族、鑑定スキルで成り上がる 第3期,False,OP,1,Still Water,佐々木李子,,,,,,,
5947,2026秋アニメ,転生貴族、鑑定スキルで成り上がる 第3期,False,ED,1,日々を越えて,明くる夜の羊,,,,,,,
5947,2026秋アニメ,転生ゴブリンだけど質問ある？,False,OP,1,ハロー,Sou,,,,,,,
5947,2026秋アニメ,転生ゴブリンだけど質問ある？,False,ED,1,小さな僕ら,エイハブ,,,,,,,
5947,2026秋アニメ,転生した大聖女は、聖女であることをひた隠す,False,OP,1,Flare of Soul,花耶,,,,,,,
